Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
1,1,E1,4373,2.53,11063.94,53.1,31.5,10.3,2.97
1,2,E1,4235,2.96,12525.22,61.2,27.7,15.7,2.76
1,3,E1,4285,2.71,11619.05,56.1,28.9,16.3,2.39
2,1,E1,4279,2.59,11077.45,55,29.4,8.5,3.11
2,2,E1,3992,2.73,10884.89,57.9,26.1,11.8,2.84
2,3,E1,4210,2.85,12019.22,61.9,25.3,17.4,2.44
3,1,E1,4555,2.54,11561.17,51.1,32.4,8,4
3,2,E1,4484,2.75,12316.02,59.2,30.1,12.7,3.4
3,3,E1,4368,2.81,12282.27,57.8,30.2,14.3,3.13
4,1,E1,4030,2.71,10913.45,54.7,27.6,13.8,3.03
4,2,E1,3932,2.9,11421.67,60,27.4,16,2.95
4,3,E1,4006,2.65,10631.11,52.8,29.1,13.2,3.29
5,1,E1,4136,3.15,13032.43,72.6,29.6,13.9,2.86
5,2,E1,4121,3.33,13707.87,75.5,27.2,17.3,2.85
5,3,E1,4060,2.83,11490.77,57.3,26.5,15.1,2.6
6,1,E1,4689,2.97,13941.26,63.7,29.9,10.5,3.16
6,2,E1,4620,2.71,12515.6,56.9,27.9,14.6,2.99
6,3,E1,4309,3.37,14512.22,77.4,25.4,18,2.53
7,1,E1,4056,2.82,11431.89,61.3,30,11.7,3.35
7,2,E1,4348,2.66,11553.95,53.3,31.2,9.6,3.39
7,3,E1,4273,2.71,11580.92,54.3,27.7,18.2,2.77
8,1,E1,4132,2.85,11789.91,60.7,30.2,13.3,3.31
8,2,E1,4416,2.56,11296,48.3,31,9.2,3.87
8,3,E1,4218,2.88,12144.3,63.9,28.3,14.7,3.21
9,1,E1,4426,2.78,12289.54,59.9,30.2,10.7,2.82
9,2,E1,3921,2.86,11224.04,65.5,29.4,11.5,2.71
9,3,E1,4104,2.63,10806.01,59.2,29.9,11.8,2.59
10,1,E1,3945,2.86,11275.48,60.9,27.7,11.4,2.14
10,2,E1,4379,2.58,11288.34,54.6,27.8,8.9,2.95
10,3,E1,4133,2.34,9685.18,48.6,27.9,13.6,2.73
11,1,E1,4134,2.57,10638.99,54.7,30,10.1,2.64
11,2,E1,4248,3.16,13420.35,71.9,30.1,11.9,2.92
